"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Digital Twins: A Comprehensive Study on Models, Platforms, Applications and Challenges","Sneha; P. D. Singh; V. Tripathi","Department of CSE, Graphic Era (Deemed to be University), Dehradun, India; Department of CSE, Graphic Era (Deemed to be University), Dehradun, India; Department of CSE, Graphic Era (Deemed to be University), Dehradun, India",2024 11th International Conference on Computing for Sustainable Global Development (INDIACom),"18 Apr 2024","2024","","","1072","1077","Technological innovation has created “digital twins,” which can replicate and synchronize digital and physical things in (almost) real-time, assess situations from multiple perspectives, and optimize physical objects by predicting how they will behave in the future based on these analyses. This study delves deeply into Digital Twin technology, covering its origins as a game-changing link between the real and the virtual. It explores diverse models, dissecting their functionalities and predictive capacities. Through a comparative lens, it evaluates prominent platforms Oracle Digital Twin, ANSYS Twin Builder, and Siemens Digital Twin - examining their features and adaptability across industries. Extensive applications across Manufacturing, Energy, Automotive, and Logistics underscore the technology’s optimization potential and operational enhancements. Lastly, the study discusses challenges and future perspectives for digital twin technology, offering insight into potential breakthroughs and areas of exploration in this rapidly evolving sector.","","978-93-80544-51-9","10.23919/INDIACom61295.2024.10498975","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10498975","digital twins;predictive analysis;comparative evaluation;industries;transformation","Industries;Technological innovation;Transforms;Digital twins;Manufacturing;Finite element analysis;Synchronization","","","","33","","18 Apr 2024","","","IEEE","IEEE Conferences"
"In-depth Exploration of the Present Research Status on Smart Cities","D. Bakir; Z. Chiba; N. Abghour; K. Moussaid; M. Miyara; A. Ouaguid","Mathematics and Computing Department, LIS Labs Faculty of Sciences Ain Chock, Hassan II University, Casablanca, Morocco; Mathematics and Computing Department, LIS Labs Faculty of Sciences Ain Chock, Hassan II University, Casablanca, Morocco; Mathematics and Computing Department, LIS Labs Faculty of Sciences Ain Chock, Hassan II University, Casablanca, Morocco; Mathematics and Computing Department, LIS Labs Faculty of Sciences Ain Chock, Hassan II University, Casablanca, Morocco; Mathematics and Computing Department, LIS Labs Faculty of Sciences Ain Chock, Hassan II University, Casablanca, Morocco; 2IACS Laboratory ENSET of Mohammedia, University Hassan II, Casablanca, Morocco",2024 International Conference on Ubiquitous Networking (UNet),"17 Dec 2024","2024","10","","01","07","Smart cities harness pervasive technology and big data to cultivate more efficient, sustainable, and innovative urban environments. They leverage ubiquitous computing and analytics to monitor and optimize services, resource management, and economic growth. Additionally, smart cities tackle urban challenges like climate change, overcrowding, and resource scarcity through intelligent systems and solutions. In domains such as health, energy, mobility, and agriculture, smart cities utilize sensors, micro-grids, smart vehicles, and other advanced technologies to evaluate conditions, impacts, programs, and strategies. However, these advancements introduce challenges, including data security, privacy concerns, interoperability issues, and infrastructure limitations. By examining research and case studies across these domains, this paper evaluates potential limitations and future directions for smart city development. It aims to contribute to a deeper understanding of smart cities' complexities and provide valuable insights for new research avenues for future scholars.","","979-8-3503-5614-4","10.1109/UNet62310.2024.10794723","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10794723","smart cities;challenges;health;energy;mobility;agriculture","Economics;Technological innovation;Smart cities;Data security;Ubiquitous computing;Resource management;Intelligent systems;Monitoring;Interoperability;Intelligent sensors","","","","18","IEEE","17 Dec 2024","","","IEEE","IEEE Conferences"
"Database Management Difficulties in the Internet of Things","M. Lourens; A. Tamizhselvi; B. Goswami; J. Alanya-Beltran; M. Aarif; D. Gangodkar","Department of Human Resources Management, Durban University of Technology, Berea, Durban, South Africa; Information Technology; Institute of Business Management, GLA University, Mathura, Uttar Pradesh, India; Department of Electronic, Universidad Tecnológica del Perú, Perú; Shri JJT University, Jhunjhunu, Rajasthan, India; Department of Computer Science & Engineering, Graphic Era Deemed to be University, Dehradun, Uttarakhand, India.",2022 5th International Conference on Contemporary Computing and Informatics (IC3I),"22 Mar 2023","2022","","","322","326","The “Internet of Things (IoT)” is an internet protocol for which real-world, virtual as well as digital objects are given recognition, detecting, connectivity, and process technology so they can interact with one another and other Internet-connected devices and services to carry out users’ tasks. There are many IoT solutions available to improve and comfort civilian lives. Additionally, the use of IoT technology in the automotive sector gave rise to the concept of the “Industrial Internet of Things (IIoT),” which has simplified the usage of Cyber Physic Systems, which enable machine and human communication. In general, the variety, heterogeneity, and vast volume of data produced by these businesses make the use of traditional database management systems inappropriate. While constructing IoT data management systems, a number of special issues should be taken into account. These varied guiding notions have led to the proposal of range Of iot data management strategies. The Internet of Things will undoubtedly become a realization as more gadgets are linked to the Internet. Massive amounts of information will be instantiated by items in environment. A high rate and numerous increments will be made to its quantity. This research paper has highlighted database management and its challenges in IoT technology through secondary qualitative analysis.","","979-8-3503-9826-7","10.1109/IC3I56241.2022.10072614","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10072614","Internet of Things (IoT);database management;Technology;Big data","Protocols;Database systems;Proposals;Task analysis;Informatics;Physics;Industrial Internet of Things","","4","","17","IEEE","22 Mar 2023","","","IEEE","IEEE Conferences"
"Comparison of Choreography vs Orchestration Based Saga Patterns in Microservices","S. Aydin; C. B. Çebi","Department of Information Technologies, Işık University, Istanbul, Türkiye; Department of Computer Engineering, Işık University, Istanbul, Türkiye","2022 International Conference on Electrical, Computer and Energy Technologies (ICECET)","9 Sep 2022","2022","","","1","6","Microservice Architecture (MSA) is a design and architecture pattern created to deal with the challenges of conventional software programs in terms of stream processing, highly available flexibility, and infrastructural agility. Despite the many advantages of MSA, designing isolated services using the autonomous Databases per Services paradigm is difficult. We realized that because each microservice will have its repository, ensuring data coherence between databases becomes difficult, especially in reversals, where operations transcend different sites. Distributed networked transactions and rollbacks can be efficiently handled using two-phase commitment methods in hardware virtualization using RDBMS databases. However, these approaches can’t be used in micro-services with segregated NoSQL servers. Three issues have been addressed in this study: (i) investigate the implementation of event choreography and orchestration methods for the Saga pattern execution in MSA, (ii) existing reality suggestions on the saga pattern adoption and implementation besides the use cases, and (iii) introduce the disbursed transaction records and rollbacks challenges in isolated No-SQL databases with reliant collections in MSA.","","978-1-6654-7087-2","10.1109/ICECET55527.2022.9872665","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9872665","saga pattern;orchestration;microservice architecture;choreography;styling;SQL database","Memory management;Microservice architectures;Distributed databases;Coherence;Software;Hardware;Teamwork","","2","","20","IEEE","9 Sep 2022","","","IEEE","IEEE Conferences"
"Enhancing Retrieval Augmented Generation Systems with Knowledge Graphs","T. Prudhvith; C. Swattik; S. Prakash","Data Science and Insights, Genpact India Private Limited, Bengaluru, India; Data Science and Insights, Genpact India Private Limited, Bengaluru, India; Data Science and Insights, Genpact India Private Limited, Bengaluru, India","2024 International Conference on Electrical, Computer and Energy Technologies (ICECET","8 Oct 2024","2024","","","1","8","Knowledge graphs play a pivotal role in information retrieval, yet their effectiveness can be further optimized. This paper introduces a comprehensive approach to enriching knowledge graphs, addressing contemporary challenges in answering user queries. Our methodology integrates key phrase extraction indulged with a custom prompt to create a Knowledge Graph (KG) with every node connected with each other, node embedding generation w.r.t properties, and an autonomous updating agent during the creation of KG and inference. Furthermore, we explore the incorporation of traditional vector search to enhance contextual understanding. Our experiments demonstrate a substantial improvement in accuracy, reaching approximately 96% compared to traditional KG approaches and our creation of KG process. Notably, the hybrid model sometimes outperforms the Retrieval-Augmented Generation (RAG) system, showcasing the efficacy of the integrated approach. This enhancement is attributed to the methodology proposed coupled with the additional context provided by traditional vector search. The results underscore the significance of our approach in delivering more accurate and contextually relevant information, showcasing the potential of this integrated method in advancing knowledge graph systems.","","979-8-3503-9591-4","10.1109/ICECET61485.2024.10698122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10698122","Knowledge Graphs;Key Phrase Extraction;Embeddings;Vector Search;Information Retrieval;GPT4","Electric potential;Accuracy;Knowledge graphs;Information retrieval;Vectors;Hybrid power systems","","","","22","IEEE","8 Oct 2024","","","IEEE","IEEE Conferences"
"Characteristics of Simulation: A Meta-Review of Modern Simulation Applications","H. van der Valk; S. Winkelmann; F. Ramge; J. Hunker; K. Langenbach; M. Rabe","Chair for Industrial Information Management, TU Dortmund University, Dortmund, GERMANY; Chair for Industrial Information Management, TU Dortmund University, Dortmund, GERMANY; Chair for Industrial Information Management, TU Dortmund University, Dortmund, GERMANY; Department of IT in Production and Logistics, TU Dortmund University, Dortmund, GERMANY; Department of IT in Production and Logistics, TU Dortmund University, Dortmund, GERMANY; Department of IT in Production and Logistics, TU Dortmund University, Dortmund, GERMANY",2022 Winter Simulation Conference (WSC),"23 Jan 2023","2022","","","2558","2569","Simulation studies enable practitioners and researchers to prove assumptions and hypotheses. Through experiments, they can analyze real-world and conceptual systems. Hence, simulation is an integral part of industrial and scientific work. Nevertheless, simulation applications have to adapt to modern, digitized working changes. As simulation evolves analogously to the industrial world, the scientific world must adjust accordingly, and new research streams for the next steps of simulation's evolution must be defined. This work aims at gathering and exhibiting the properties of recent simulation studies. It provides the groundwork for the definition of research streams for the future of simulation. The paper lays the foundation for prescriptive design knowledge on simulation studies through a structured literature review. Thus, researchers and practitioners are enabled to take on the current challenges of simulation based on a descriptive up-to-date data basis.","1558-4305","978-1-6654-7661-4","10.1109/WSC57314.2022.10015478","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10015478","","Adaptation models;Bibliographies;Data models","","2","","35","IEEE","23 Jan 2023","","","IEEE","IEEE Conferences"
"Cloud Computing Infrastructure in Smart Home Devices","R. Roy; N. Sharma","Dept of Computer Science and Engineering, Lovely Professional University, Punjab, India; Dept of Computer Science and Engineering, Lovely Professional University, Punjab, India",2023 Seventh International Conference on Image Information Processing (ICIIP),"28 May 2024","2023","","","677","682","Cloud computing has transformed how we engage with technology. Computer users now have easy access to computing resources via the internet. This inclination is not limited to smart home devices. Smart home devices have become more dominant by means and the use of technology. Internet of Things (IoT) takes grown the popularity, makes our daily lives easier and more efficient. Cloud computing technology provides a chance to increase the performance, usefulness of smart home devices with integration in smart home gadgets. The author has worked and emphasizes the assistances of cloud computing, like as scalability, cost-efficiency, greater storage capacity, along with covering the drawbacks, such as security threats, data privacy concerns, and latency issues. Recent research studies imply that cloud computing can considerably progress the performance of smart home devices by providing greater storage, processing power, and data analytics capabilities. The possible risks associated with cloud computing must be carefully handled to maintain the security and privacy of users’ data has discussed in the paper.","2640-074X","979-8-3503-7140-6","10.1109/ICIIP61524.2023.10537782","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10537782","Cloud Computing;Smart Home Devices;Internet of Things (IoT);Security risks;Data privacy;Data analytics","Performance evaluation;Cloud computing;Data privacy;Data analysis;Costs;Scalability;Smart homes","","1","","28","IEEE","28 May 2024","","","IEEE","IEEE Conferences"
"AI in Medical Imaging Informatics: Current Challenges and Future Directions","A. S. Panayides; A. Amini; N. D. Filipovic; A. Sharma; S. A. Tsaftaris; A. Young; D. Foran; N. Do; S. Golemati; T. Kurc; K. Huang; K. S. Nikita; B. P. Veasey; M. Zervakis; J. H. Saltz; C. S. Pattichis","Department of Computer Science, University of Cyprus, Nicosia, Cyprus; Electrical and Computer Engineering Department, University of Louisville, Louisville, USA; University of Kragujevac, Kragujevac, Serbia; Emory University Atlanta, USA; School of Engineering, The University of Edinburgh, U.K.; Department of Anatomy and Medical Imaging, University of Auckland, Auckland, New Zealand; Department of Pathology and Laboratory Medicine, Robert Wood Johnson Medical School, Rutgers, The State University of New Jersey, Piscataway, USA; U.S. Department of Veterans Affairs Boston Healthcare System, Boston, USA; Medical School, National and Kapodistrian University of Athens, Athens, Greece; Stony Brook University, Stony Brook, USA; School of Medicine, Regenstrief Institute, Indiana University, USA; Biomedical Simulations and Imaging Lab, School of Electrical and Computer Engineering, National Technical University of Athens, Athens, Greece; Electrical and Computer Engineering Department, University of Louisville, Louisville, USA; Technical University of Crete, Chania, Greece; Stony Brook University, Stony Brook, USA; Department of Computer Science of the University of Cyprus, Nicosia, Cyprus",IEEE Journal of Biomedical and Health Informatics,"1 Jul 2020","2020","24","7","1837","1857","This paper reviews state-of-the-art research solutions across the spectrum of medical imaging informatics, discusses clinical translation, and provides future directions for advancing clinical practice. More specifically, it summarizes advances in medical imaging acquisition technologies for different modalities, highlighting the necessity for efficient medical data management strategies in the context of AI in big healthcare data analytics. It then provides a synopsis of contemporary and emerging algorithmic methods for disease classification and organ/ tissue segmentation, focusing on AI and deep learning architectures that have already become the de facto approach. The clinical benefits of in-silico modelling advances linked with evolving 3D reconstruction and visualization applications are further documented. Concluding, integrative analytics approaches driven by associate research branches highlighted in this study promise to revolutionize imaging informatics as known today across the healthcare continuum for both radiology and digital pathology applications. The latter, is projected to enable informed, more accurate diagnosis, timely prognosis, and effective treatment planning, underpinning precision medicine.","2168-2208","","10.1109/JBHI.2020.2991043","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9103969","Medical Imaging;Image Analysis;Image Classification;Image Processing;Image Segmentation;Image Visualization;Integrative Analytics;Machine Learning;Deep Learning;Big Data","Biomedical imaging;X-ray imaging;Magnetic resonance imaging;Computed tomography;Informatics;Three-dimensional displays","Artificial Intelligence;Big Data;Diagnostic Imaging;Humans;Image Interpretation, Computer-Assisted;Image Processing, Computer-Assisted;Medical Informatics;Precision Medicine","284","","91","CCBY","29 May 2020","","","IEEE","IEEE Journals"
"A Systematic Literature Review of I/O Optimization in HPC and Cloud Computing Environments","M. A. G. Napa; A. F. Lorenzon","Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, Brazil; Institute of Informatics, Federal University of Rio Grande do Sul, Porto Alegre, Brazil",2024 International Symposium on Computer Architecture and High Performance Computing Workshops (SBAC-PADW),"26 Nov 2024","2024","","","66","72","Efficient data management strategies are increasingly critical in high-performance computing (HPC) and cloud computing environments, where large volumes of data must be processed without introducing performance bottlenecks that can affect scalability. In this scenario, this paper presents a systematic literature review (SLR) investigating the relationship between I/O operations and HPC and cloud environments. Following the PRISMA framework, we selected and analyzed 88 studies that provide information on the current state of I/O research in HPC and the cloud. A well-defined research protocol guided the selection of relevant studies, limiting the review to works published in the last decade to ensure a contemporary understanding of advances and challenges in I/O operations. The analysis of these studies involved a structured categorization, which identified the benchmarks, file systems, and emerging technologies employed. Our discussion also highlights current trends in optimizing I/O performance, offering an overview of the developments in this area of HPC and cloud computing research.","","979-8-3315-0673-5","10.1109/SBAC-PADW64858.2024.00020","Petrobras(grant numbers:2020/00182-5); CNPq/MCTI/FNDCT - Universal 18/2021(grant numbers:406182/2021-3); Capes(grant numbers:001); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10764543","I/O;systematic literature review;cloud computing;high-performance computing","Cloud computing;Protocols;Limiting;File systems;High performance computing;Scalability;Conferences;Computer architecture;Market research;Optimization","","","","17","IEEE","26 Nov 2024","","","IEEE","IEEE Conferences"
"Ensemble Simulations on Leadership Computing Systems","A. Georgiadou; H. Monge-Camacho; T. Sohail; S. Ghosh; A. V. Parambathu; D. N. Asthagiri; D. Bykov; T. Athawale; T. L. Beck","National Center for Computational Sciences, Oak Ridge, TN, USA; National Center for Computational Sciences, Oak Ridge, TN, USA; National Center for Computational Sciences, Oak Ridge, TN, USA; National Center for Computational Sciences, Oak Ridge, TN, USA; University of Delaware, Delaware, DE, USA; National Center for Computational Sciences, Oak Ridge, TN, USA; National Center for Computational Sciences, Oak Ridge, TN, USA; Oak Ridge National Laboratory, Oak Ridge, TN, USA; National Center for Computational Sciences, Oak Ridge, TN, USA","SC24-W: Workshops of the International Conference for High Performance Computing, Networking, Storage and Analysis","8 Jan 2025","2024","","","394","401","Scientific productivity can be enhanced through workflow management tools, relieving large High Performance Computing (HPC) system users from the tedious tasks of scheduling and designing the complex computational execution of scientific applications. This paper presents a study on the usage of ensemble workflow tools to accelerate science using the Summit and Frontier supercomputing systems. The research aims to connect science domain simulations using Oak Ridge Leadership Computing Facility (OLCF) supercomputing platforms with ensemble workflow methods in order to accelerate HPC-enabled discovery and boost scientific impact. We present the coupling, porting and optimization of Radical-Cybertools on three applications: Chroma, NAMD and LAMMPS. The tools augment traditional HPC monolithic runs with a pilot scheduler. Lessons-learned are discussed for physics, biology and materials science applications. We discuss intrinsic limitations of coupling and porting ensemble workflow tools to applications that run on large HPC systems. The origins of technical challenges and their solutions developed during the implementation process are discussed. Data management strategies, OLCF’s policies for ensembles, and natively supported workflow tools are also summarized.1","","979-8-3503-5554-3","10.1109/SCW63240.2024.00059","Office of Science; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10820570","","Couplings;Productivity;Leadership;Processor scheduling;High performance computing;Computational modeling;Lattices;Rendering (computer graphics);Reproducibility of results;Resource management","","","","45","IEEE","8 Jan 2025","","","IEEE","IEEE Conferences"
"DFMan: A Graph-based Optimization of Dataflow Scheduling on High-Performance Computing Systems","F. Chowdhury; F. Di Natale; A. Moody; K. Mohror; W. Yu",Florida State University; Lawrence Livermore National Laboratory; Lawrence Livermore National Laboratory; Lawrence Livermore National Laboratory; Florida State University,2022 IEEE International Parallel and Distributed Processing Symposium (IPDPS),"15 Jul 2022","2022","","","368","378","Scientific research and development campaigns are materialized by workflows of applications executing on high-performance computing (HPC) systems. These applications con-sist of tasks that can have inter- or intra-application flows of data to achieve the research goals successfully. These dataflows create dependencies among the tasks and cause resource con-tention on shared storage systems, thus limiting the aggregated I/O bandwidth achieved by the workflow. However, these I/O performance issues are often solved by tedious and manual efforts that demand holistic knowledge about the data dependencies in the workflow and the information about the infrastructure being utilized. Taking this into consideration, we design DFMan, a graph-based dataflow management and optimization framework for maximizing I/O bandwidth by leveraging the powerful storage stack on HPC systems to manage data sharing optimally among the tasks in the workflows. In particular, we devise a graph-based optimization algorithm that can leverage an intuitive graph representation of dataflow- and system-related information, and automatically carry out co-scheduling of task and data placement. According to our experiments, DFMan optimizes a wide variety of scientific workflows such as Hurricane 3D on Cloud Model 1 (CM1), Montage Carina Nebula (NGC3372), and an emulated dataflow kernel of the Multiscale Machine-learned Modeling Infrastructure (MuMMI I/O) on the Lassen supercomputer, and improves their aggregated I/O bandwidth by up to 5.42 x, 2.12 x and 1.29 x, respectively, compared to the baseline bandwidth.","1530-2075","978-1-6654-8106-9","10.1109/IPDPS53621.2022.00043","U.S. Department of Energy; Lawrence Livermore National Laboratory(grant numbers:DE-AC52-07NA27344,LLNL-CONF-827797); Office of Science; National Science Foundation(grant numbers:1561041,1564647,1763547); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9820699","Graph based optimization;Task data co scheduling;HPC workflow;HPC Dataflow;HPC storage systems;Scientific-application-workflow","Solid modeling;Three-dimensional displays;Processor scheduling;High performance computing;Bandwidth;Manuals;Supercomputers","","6","","50","IEEE","15 Jul 2022","","","IEEE","IEEE Conferences"
"Efficient Data Management in Neutron Scattering Data Reduction Workflows at ORNL","W. F. Godoy; P. F. Peterson; S. E. Hahn; J. J. Billings","Oak Ridge National Laboratory,Computer Science and Mathematics Division,Oak Ridge,TN,USA; Oak Ridge National Laboratory,Computer Science and Mathematics Division,Oak Ridge,TN,USA; Oak Ridge National Laboratory,Computer Science and Mathematics Division,Oak Ridge,TN,USA; Oak Ridge National Laboratory,Computer Science and Mathematics Division",2020 IEEE International Conference on Big Data (Big Data),"19 Mar 2021","2020","","","2674","2680","Oak Ridge National Laboratory (ORNL) experimental neutron science facilities produce 1.2 TB a day of raw event-based data that is stored using the standard metadata-rich NeXus schema built on top of the HDF5 file format. Performance of several data reduction workflows is largely determined by the amount of time spent on the loading and processing algorithms in Mantid, an open-source data analysis framework used across several neutron sciences facilities around the world. The present work introduces new data management algorithms to address identified input output (I/O) bottlenecks on Mantid. First, we introduce an in-memory binary-tree metadata index that resemble NeXus data access patterns to provide a scalable search and extraction mechanism. Second, data encapsulation in Mantid algorithms is optimally redesigned to reduce the total compute and memory runtime footprint associated with metadata I/O reconstruction tasks. Results from this work show speed ups in wall-clock time on ORNL data reduction workflows, ranging from 11% to 30% depending on the complexity of the targeted instrument-specific data. Nevertheless, we highlight the need for more research to address reduction challenges as experimental data volumes increase.","","978-1-7281-6251-5","10.1109/BigData50022.2020.9377836","Basic Energy Sciences; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9377836","experimental data;reduction workflows;data management;metadata;indexing;Mantid;NeXus;HDF5;neutron scattering","Neutron spin echo;Runtime;Data analysis;Instruments;Neutrons;Metadata;Distance measurement","","3","","26","IEEE","19 Mar 2021","","","IEEE","IEEE Conferences"
"Characterizing Scientific Workflows on HPC Systems using Logs","D. Ghoshal; B. Austin; D. Bard; C. Daley; G. Lockwood; N. J. Wright; L. Ramakrishnan","Lawrence Berkeley National Laboratory, Berkeley, CA; Lawrence Berkeley National Laboratory, Berkeley, CA; Lawrence Berkeley National Laboratory, Berkeley, CA; Lawrence Berkeley National Laboratory, Berkeley, CA; Lawrence Berkeley National Laboratory, Berkeley, CA; Lawrence Berkeley National Laboratory, Berkeley, CA; Lawrence Berkeley National Laboratory, Berkeley, CA",2020 IEEE/ACM Workflows in Support of Large-Scale Science (WORKS),"4 Jan 2021","2020","","","57","64","Scientific advances depend on the ability to effectively and efficiently use high performance computing (HPC) systems to manage and run large, complex scientific workflows. Towards understanding the characteristics of these large scientific workflows, we propose two methods to identify workflows with temporal connections and data-dependencies from batch queue and I/O logs available at HPC systems. We use the two methods to characterize and correlate workflow runtime with node requests, I/O patterns, and resource usage on three months of log data available for Cori, a supercomputer at NERSC. A key result from our analyses shows that single-job workflows often do not use all allocated CPUs that provides opportunities to consider allocating resources at a finer-granularity.","","978-1-6654-0452-5","10.1109/WORKS51914.2020.00013","U.S. Department of Energy; Advanced Scientific Computing Research; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9308164","","Runtime;Task analysis;Windows;Tools;Supercomputers;Queueing analysis;Processor scheduling","","2","","13","IEEE","4 Jan 2021","","","IEEE","IEEE Conferences"
"Triangle Counting Accelerations: From Algorithm to In-Memory Computing Architecture","X. Wang; J. Yang; Y. Zhao; X. Jia; R. Yin; X. Chen; G. Qu; W. Zhao","MIIT Key Laboratory of Spintronics, School of Integrated Circuit Science and Engineering, Beihang University, Beijing, China; School of Computer Science and Engineering, BDBC, State Key Laboratory of Software Development Environment (NLSDE), Beihang University, Beijing, China; MIIT Key Laboratory of Spintronics, School of Integrated Circuit Science and Engineering, Beihang University, Beijing, China; MIIT Key Laboratory of Spintronics, School of Integrated Circuit Science and Engineering, Beihang University, Beijing, China; Institute of Information Engineering, Chinese Academy of Sciences, Beijing, China; MIIT Key Laboratory of Spintronics, School of Integrated Circuit Science and Engineering, Beihang University, Beijing, China; Department of Electrical and Computer Engineering and Institute for Systems Research, University of Maryland, College Park, MD, USA; MIIT Key Laboratory of Spintronics, School of Integrated Circuit Science and Engineering, Beihang University, Beijing, China",IEEE Transactions on Computers,"7 Sep 2022","2022","71","10","2462","2472","Triangles are the basic substructure of networks and triangle counting (TC) has been a fundamental graph computing problem in numerous fields such as social network analysis. Nevertheless, like other graph computing problems, due to the high memory-computation ratio and random memory access pattern, TC involves a large amount of data transfers thus suffers from the bandwidth bottleneck in the traditional Von-Neumann architecture. To overcome this challenge, in this paper, we propose to accelerate TC with the emerging processing-in-memory (PIM) architecture through an algorithm-architecture co-optimization manner. To enable the efficient in-memory implementations, we come up to reformulate TC with bitwise logic operations (such as AND), and develop customized graph compression and mapping techniques for efficient data flow management. With the emerging computational Spin-Transfer Torque Magnetic RAM (STT-MRAM) array, which is one of the most promising PIM enabling techniques, the device-to-architecture co-simulation results demonstrate that the proposed TC in-memory accelerator outperforms the state-of-the-art GPU and FPGA accelerations by $12.2\times$12.2× and $31.8\times$31.8×, respectively, and achieves a $34\times$34× energy efficiency improvement over the FPGA accelerator.","1557-9956","","10.1109/TC.2021.3131049","National Natural Science Foundation of China(grant numbers:62004011); State Key Laboratory of Computer Architecture(grant numbers:CARCH201917); National Natural Science Foundation of China(grant numbers:62072019); National Natural Science Foundation of China(grant numbers:U20A20204); Special Research Assistant Project of CAS(grant numbers:E0YY221-2020000702); National Natural Science Foundation of China(grant numbers:62106259); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9627790","Triangle counting acceleration;processing-in-memory;algorithm-architecture co-design;graph computing","Sensors;Random access memory;Magnetic tunneling;Field programmable gate arrays;Task analysis;Process control;Graphics processing units","","13","","28","IEEE","26 Nov 2021","","","IEEE","IEEE Journals"
"Green Open Innovation and Circular Economy: Investigating the Role of Big Data Management and Sustainable Supply Chain","R. K. Singh; K. Mathiyazhagan; V. Scuotto; M. Pironti","International Management Institute, Kolkata, India; Thiagarajar School of Management, Madurai, India; Leonard de Vinci, Pole universitaire, Research Center, Paris La Défense, France; ICxT Innovation Interdepartmental Center, University of Turin, Turin, Italy",IEEE Transactions on Engineering Management,"21 May 2024","2024","71","","8417","8429","The study delves into the concept of circular economy target (CET) performance in the context of green open innovation (GOI) to understand the role of Big Data management (BDM) and sustainable supply chain performances (SSCPs), including knowledge management (KM). The authors developed a self-administered survey for 294 participants from the cement, electronics, tyres, rubber, and energy sectors. These industries are relevant for their environmental impacts and sustainability challenges. The study's empirical findings emphasize the positive association between BDM with Big Data capability (BDC) and KM. Further, it positively associates with SSCP and CET, especially in the context of GOI. GOI was also observed as a moderating variable in the relationships between BDC-SSCP and KM-SSCP. The conceptual framework elucidates the interaction between BDC, knowledge capabilities, and SSCP. It underscores the collective synergy of these components in achieving CET. This is in the frame of GOI, which intertwines the value chain between territorial actors such as companies, universities, and research institutes that exploit and convert big data into knowledge to get new forms of sustainable innovations.","1558-0040","","10.1109/TEM.2024.3387107","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10496234","Big Data capability (BDC);Big Data management (BDM);circular economy target (CET) performance;green open innovation (GOI);knowledge management (KM);sustainable supply chain performance","Supply chains;Technological innovation;Sustainable development;Green products;Companies;Big Data;Dynamic scheduling","","7","","79","IEEE","10 Apr 2024","","","IEEE","IEEE Journals"
"Transforming Urban Landscapes: Exploring the Potential of IoT-Enabled Smart Cities for Enhanced Productivity, Sustainability, and Quality of Life","J. Khurana","Centre for Interdisciplinary Research for Business and Technology, Chitkara University Institute of Engineering and Technology, Chitkara University, Punjab, India",2023 3rd International Conference on Advancement in Electronics & Communication Engineering (AECE),"15 Feb 2024","2023","","","744","749","The IoT has an opportunity to turn cities into “smart cities” that are more productive, environmentally friendly, and habitable. IoT-enabled smart cities may give real-time data on numerous elements of urban life by linking a large number of sensors and devices. These aspects include things like traffic, energy usage, and air quality. This information may then be put to use to increase the quality of life for inhabitants, as well as improve public safety and urban infrastructure and services. In this article, we present an overview of the current state of the art in devices-enabled smart cities. This includes both the technology and the applications that are already being employed, as well as the difficulties that must be solved in order to allow their wider adoption. We also explore potential advances in the industry, including the possible applications of upcoming technologies like 5G, which is computing on the edge, and robotics.","","979-8-3503-3072-4","10.1109/AECE59614.2023.10428408","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10428408","Urban Infrastructure;Sustainability;Edge Computing;Artificial Intelligence;5G;Public Safety;Quality of Life","Technological innovation;Smart cities;5G mobile communication;Service robots;Security;Stakeholders;Sustainable development","","","","20","IEEE","15 Feb 2024","","","IEEE","IEEE Conferences"
