"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Han X.; Xiao S.; Sheng J.; Zhang G.","Han, Xiao (59124507200); Xiao, Shumei (59124925500); Sheng, Jun (59124786000); Zhang, Guangtao (59124218000)","59124507200; 59124925500; 59124786000; 59124218000","Enhancing Efficiency and Decision-Making in Higher Education Through Intelligent Commercial Integration: Leveraging Artificial Intelligence","2024","Journal of the Knowledge Economy","","","","","","","3","10.1007/s13132-024-01868-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192886750&doi=10.1007%2fs13132-024-01868-2&partnerID=40&md5=5897cd132c4a8cbd74e6e408bb3c20f3","Institute of Higher Education, Beijing Technology & amp; Business University, Beijing, 100048, China; Yangzhou Polytechnic College, Yangzhou, 225009, China","Han X., Institute of Higher Education, Beijing Technology & amp; Business University, Beijing, 100048, China; Xiao S., Yangzhou Polytechnic College, Yangzhou, 225009, China; Sheng J., Yangzhou Polytechnic College, Yangzhou, 225009, China; Zhang G., Yangzhou Polytechnic College, Yangzhou, 225009, China","The integration of artificial intelligence (AI) into financial management processes within academic institutions has ushered in a transformative era. This research paper delves into the profound implications of AI-driven financial integration, emphasizing its significance in aligning academic financial service functions with greater cohesion and efficiency. The establishment of intelligent financial systems, underpinned by meticulous data management and AI capabilities, has redefined the landscape of financial management in colleges and universities. This study explores the intricate relationship between AI-driven financial integration and its impact on job responsibilities and financial positions. It uncovers gaps in existing research and formulates pertinent questions to deepen our understanding of the integration process between industry and finance in the intelligent era. The research revolves around constructing a three-level financial management intelligent system, encompassing fine management, cost-effective operations, and enhancing links in financial processes. The findings underscore the transformative potential of AI in streamlining financial operations, emphasizing its role in liberating financial personnel from routine tasks. This paradigm shift not only streamlines financial operations but also augments financial productivity, unlocking the full potential of financial management within academic institutions. Theoretical implications highlight the need for ongoing theoretical development to accommodate the evolving role of AI in financial ecosystems. Managerial implications advocate for the strategic adoption of AI-driven financial platforms, fostering a culture of creativity and strategic contributions. Proactive managerial involvement in AI adoption can yield substantial benefits, requiring a nuanced approach to organizational change management and continuous innovation. This research paper paves the way for a more intelligent and integrated future in academic financial management, with AI driving efficiency and adaptability. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Artificial intelligence in education; Financial system innovation; Intelligent financial sharing platform; Neural network learning; Operational efficiency; University financial management","","S. Xiao; Yangzhou Polytechnic College, Yangzhou, 225009, China; email: xiaoshumei1975@163.com","","Springer","18687865","","","","English","J. Knowl. Econ.","Article","Article in press","","Scopus","2-s2.0-85192886750"
"Cheng Q.; Cao Y.; Liu Z.; Cui L.; Zhang T.; Xu L.","Cheng, Qiang (57201944345); Cao, Yong (58486747300); Liu, Zhifeng (35790093400); Cui, Lingli (8860924600); Zhang, Tao (57190139800); Xu, Lei (58486747400)","57201944345; 58486747300; 35790093400; 8860924600; 57190139800; 58486747400","A Health Management Technology Based on PHM for Diagnosis, Prediction of Machine Tool Servo System Failures","2024","Applied Sciences (Switzerland)","14","6","2656","","","","2","10.3390/app14062656","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85192508967&doi=10.3390%2fapp14062656&partnerID=40&md5=92f7f68bc2c80b251b7a7dd6d69a65bf","Institute of Advanced Manufacturing and Intelligent Technology, Department of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China; Key Laboratory of Advanced Manufacturing Technology, Beijing University of Technology, Beijing, 100124, China; Beijing Spacecrafts Co., Ltd., Beijing, 100094, China","Cheng Q., Institute of Advanced Manufacturing and Intelligent Technology, Department of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China; Cao Y., Institute of Advanced Manufacturing and Intelligent Technology, Department of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China; Liu Z., Institute of Advanced Manufacturing and Intelligent Technology, Department of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China; Cui L., Key Laboratory of Advanced Manufacturing Technology, Beijing University of Technology, Beijing, 100124, China; Zhang T., Institute of Advanced Manufacturing and Intelligent Technology, Department of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China; Xu L., Beijing Spacecrafts Co., Ltd., Beijing, 100094, China","The computer numerically controlled (CNC) system is the key functional component of CNC machine tool control systems, and the servo drive system is an important part of CNC systems. The complex working environment will lead to frequent failure of servo drive systems. Taking effective health management measures is the key to ensure the normal operation of CNC machine tools. In this paper, the comprehensive effect of fault prediction and fault diagnosis is considered for the first time, and a health management system for machine tool servo drive systems is proposed and applied to operation and maintenance management. According to the data collected by the system and related indicators, the technology can predict the state trend of equipment operation, identify the hidden fault characteristics in the data, and further diagnose the fault types. A health management system mainly includes fault prediction and fault diagnosis. The core of fault prediction is the gated recurrent unit (GRU). The attention mechanism is introduced into a GRU neural network, which can solve the long-term dependence problem and improve the model performance. At the same time, the Nadam optimizer is used to update the model parameters, which improves the convergence speed and generalization ability of the model and makes it suitable for solving the prediction problem of large-scale data. The core of fault diagnosis is the self-organizing mapping (SOM) neural network, which performs cluster analysis on data with different characteristics, to realize fault diagnosis. In addition, feature standardization and principal component analysis (PCA) are introduced to balance the influence of different feature scales, enhance the feature of fault data, and achieve data dimensionality reduction. Compared with the other two algorithms and their improved versions, the superiority of the health management system with high-dimensional data and the enhancement effect of fault identification are verified. The relative relationship between fault prediction and diagnosis is further revealed, and the adjustment idea of the production plan is provided for decision makers. The rationality and effectiveness of the system in practical application are verified by a series of tests of fault data sets. © 2024 by the authors.","failure prediction; fault diagnosis; GRU; health management; machine tool servo drive system; PHM; SOM","","T. Zhang; Institute of Advanced Manufacturing and Intelligent Technology, Department of Materials and Manufacturing, Beijing University of Technology, Beijing, 100124, China; email: zhangtao@bjut.edu.cn","","Multidisciplinary Digital Publishing Institute (MDPI)","20763417","","","","English","Appl. Sci.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85192508967"
"Marshall C.P.; Schumann J.; Trunschke A.","Marshall, Clara Patricia (57202687617); Schumann, Julia (55763214500); Trunschke, Annette (6603855901)","57202687617; 55763214500; 6603855901","Achieving Digital Catalysis: Strategies for Data Acquisition, Storage and Use","2023","Angewandte Chemie - International Edition","62","30","e202302971","","","","15","10.1002/anie.202302971","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160701390&doi=10.1002%2fanie.202302971&partnerID=40&md5=9cd75584f1530153ea138954a9904fc3","Department of Inorganic Chemistry, Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4–6, Berlin, 14195, Germany; Consortium FAIRmat, c/o, Humboldt-Universität zu Berlin, Zum Großen Windkanal 2, Berlin, 12489, Germany","Marshall C.P., Department of Inorganic Chemistry, Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4–6, Berlin, 14195, Germany; Schumann J., Department of Inorganic Chemistry, Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4–6, Berlin, 14195, Germany, Consortium FAIRmat, c/o, Humboldt-Universität zu Berlin, Zum Großen Windkanal 2, Berlin, 12489, Germany; Trunschke A., Department of Inorganic Chemistry, Fritz-Haber-Institut der Max-Planck-Gesellschaft, Faradayweg 4–6, Berlin, 14195, Germany","Heterogeneous catalysis is an important area of research that generates data as intricate as the phenomenon itself. Complexity is inherently coupled to the function of the catalyst and advance in knowledge can only be achieved if this complexity is adequately captured and accounted for. This requires integration of experiment and theory, high data quality and quality control, close interdisciplinary collaboration, and sharing of data and metadata, which is facilitated by the application of joint data management strategies. This Viewpoint Article first discusses the potential of a digital transition in catalysis research. Then, a summary of the current status in terms of data infrastructure in heterogeneous catalysis is presented, defining the various types of (meta-) data, from catalyst synthesis to functional analysis. Finally, an already implemented working concept for local data acquisition and storage is introduced and the benefits and further development directions for catalysis data use and sharing are discussed. © 2023 The Authors. Angewandte Chemie International Edition published by Wiley-VCH GmbH.","Automation; Autonomous Catalyst Discovery; Clean Data; Digital Catalysis; Local Data Infrastructure","Catalysts; Data acquisition; Digital storage; Information management; Metadata; Quality control; Autonomous catalyst discovery; Clean data; Data and metadata; Data infrastructure; Data quality; Digital catalyse; Interdisciplinary collaborations; Local data; Local data infrastructure; ]+ catalyst; article; automation; catalysis; catalyst; data quality; metadata; quality control; synthesis; Catalysis","A. Trunschke; Department of Inorganic Chemistry, Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin, Faradayweg 4–6, 14195, Germany; email: trunschke@fhi-berlin.mpg.de","","John Wiley and Sons Inc","14337851","","ACIEF","37255370","English","Angew. Chem. Int. Ed.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85160701390"
"Babaghayou M.; Chaib N.; Maglaras L.A.; Yigit Y.; Ferrag M.A.; Marsh C.; Moradpoor N.","Babaghayou, Messaoud (57208495734); Chaib, Noureddine (55508194600); Maglaras, Leandros A. (8313447200); Yigit, Yagmur (57221467901); Ferrag, Mohamed Amine (56115001200); Marsh, Carol (58998002200); Moradpoor, Naghmeh (50262494000)","57208495734; 55508194600; 8313447200; 57221467901; 56115001200; 58998002200; 50262494000","APOLLO: a proximity-oriented, low-layer orchestration algorithm for resources optimization in mist computing","2024","Wireless Networks","","","","","","","0","10.1007/s11276-024-03791-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196045042&doi=10.1007%2fs11276-024-03791-5&partnerID=40&md5=5b2135d24681a390fc5459a9cdaff24d","Laboratoire d’Informatique et de Mathématiques, Université Amar Telidji de Laghouat, Laghouat, Algeria; School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, United Kingdom; Technology Innovation Institute, Masdar City, Abu Dhabi, 9639, United Arab Emirates","Babaghayou M., Laboratoire d’Informatique et de Mathématiques, Université Amar Telidji de Laghouat, Laghouat, Algeria; Chaib N., Laboratoire d’Informatique et de Mathématiques, Université Amar Telidji de Laghouat, Laghouat, Algeria; Maglaras L.A., School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, United Kingdom; Yigit Y., School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, United Kingdom; Ferrag M.A., Technology Innovation Institute, Masdar City, Abu Dhabi, 9639, United Arab Emirates; Marsh C., School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, United Kingdom; Moradpoor N., School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, United Kingdom","The fusion of satellite technologies with the Internet of Things (IoT) has propelled the evolution of mobile computing, ushering in novel communication paradigms and data management strategies. Within this landscape, the efficient management of computationally intensive tasks in satellite-enabled mist computing environments emerges as a critical challenge. These tasks, spanning from optimizing satellite communication to facilitating blockchain-based IoT processes, necessitate substantial computational resources and timely execution. To address this challenge, we introduce APOLLO, a novel low-layer orchestration algorithm explicitly tailored for satellite mist computing environments. APOLLO leverages proximity-driven decision-making and load balancing to optimize task deployment and performance. We assess APOLLO’s efficacy across various configurations of mist-layer devices while employing a round-robin principle for equitable tasks distribution among the close, low-layer satellites. Our findings underscore APOLLO’s promising outcomes in terms of reduced energy consumption, minimized end-to-end delay, and optimized network resource utilization, particularly in targeted scenarios. However, the evaluation also reveals avenues for refinement, notably in CPU utilization and slightly low task success rates. Our work contributes substantial insights into advancing task orchestration in satellite-enabled mist computing with more focus on energy and end-to-end sensitive applications, paving the way for more efficient, reliable, and sustainable satellite communication systems. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","End-to-End delay reduction; Energy-efficient offloading; Satellite edge computing; Task management; Task orchestration","Computation offloading; Decision making; Energy efficiency; Energy utilization; Information management; Internet of things; Satellite communication systems; Computing environments; Delay reduction; Edge computing; End to end delay; End-to-end delay reduction; Energy efficient; Energy-efficient offloading; Satellite edge computing; Task management; Task orchestration; Satellites","L.A. Maglaras; School of Computing, Engineering and the Built Environment, Edinburgh Napier University, Edinburgh, United Kingdom; email: l.maglaras@napier.ac.uk","","Springer","10220038","","WINEF","","English","Wireless Networks","Article","Article in press","","Scopus","2-s2.0-85196045042"
"Jiang K.; Du S.; Zhao F.; Huang Y.; Li C.; Luo Y.","Jiang, Kun (57207956789); Du, Shaofeng (57205425772); Zhao, Fu (57829026200); Huang, Yong (57216313522); Li, Chunlin (35315777900); Luo, Youlong (47361266600)","57207956789; 57205425772; 57829026200; 57216313522; 35315777900; 47361266600","Effective data management strategy and RDD weight cache replacement strategy in Spark","2022","Computer Communications","194","","","66","85","19","8","10.1016/j.comcom.2022.07.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135377481&doi=10.1016%2fj.comcom.2022.07.008&partnerID=40&md5=7be040cbd628081d546e6a0dbfe4cea7","Key Laboratory of Construction and Safety of Water Engineering of the Ministry of Water Resources, China Institute of Water Resources and Hydropower Research, Beijing, China; State Key Laboratory of Smart Manufacturing for Special Vehicles and Transmission System, Baotou, China; School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, 430063, China; Key Laboratory of New Technology for Construction of Cities in Mountain Area, Ministry of Education, Chongqing University, Chongqing, 400045, China","Jiang K., Key Laboratory of Construction and Safety of Water Engineering of the Ministry of Water Resources, China Institute of Water Resources and Hydropower Research, Beijing, China, School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, 430063, China; Du S., State Key Laboratory of Smart Manufacturing for Special Vehicles and Transmission System, Baotou, China; Zhao F., State Key Laboratory of Smart Manufacturing for Special Vehicles and Transmission System, Baotou, China; Huang Y., Key Laboratory of New Technology for Construction of Cities in Mountain Area, Ministry of Education, Chongqing University, Chongqing, 400045, China; Li C., Key Laboratory of Construction and Safety of Water Engineering of the Ministry of Water Resources, China Institute of Water Resources and Hydropower Research, Beijing, China, School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, 430063, China; Luo Y., School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, 430063, China","With the dramatic increase in internet users and their demand for real-time network performance, Spark has distributed computing environment has emerged. It is widely used due to its high-performance caching mechanism and high scalability. In the face of the unpredictability of data access patterns in the current big data environment, the data shuffling phase is prone to the problems of under-utilization of Spark cluster resources, high computational latency, and high task processing latency. Based on this, this paper proposes an intermediate data management strategy based on the data shuffling phase. Firstly, the size of the data generated in the data shuffling phase of the Spark platform is predicted by random sampling. The strength division strategy obtains the skewed data degree to obtain the part with excessive skew deviation. Finally, the adaptive data management strategy is applied to perform the corresponding computation tasks by the data deviation. In addition, to improve the response time, memory usage, and computation latency of Spark applications, an adaptive cache replacement algorithm based on RDD partition weights is proposed, which takes into account the influence of four weight factors such as computation cost, usage times, partition size and life cycle of RDDs by reasonably calculating the RDD partition weight values. Compared with the current mainstream baseline algorithms, the data management algorithm based on the data mash-up phase proposed in this paper can effectively reduce resource usage and computational response latency. The RDD-based partition weighted adaptive cache replacement algorithm proposed in this paper can fully use memory resources and effectively reduce the problem of resource wastage. © 2022","Adaptive cache replacement; Cache gain; Data management; Data shuffling; RDD partition weights","Cache memory; Life cycle; 'current; Adaptive cache replacements; Cache gain; Cache replacement; Cache replacement algorithm; Data management strategies; Data shuffling; Internet users; RDD partition weight; Replacement strategy; Information management","C. Li; School of Computer Science and Artificial Intelligence, Wuhan University of Technology, Wuhan, 430063, China; email: lichunlin74@126.com","","Elsevier B.V.","01403664","","COCOD","","English","Comput Commun","Article","Final","","Scopus","2-s2.0-85135377481"
"Chaoyi P.; Yaping H.; Guang M.; Huashi Z.; Wenchao L.; Juncong H.","Chaoyi, Peng (56542299900); Yaping, Hu (57193394818); Guang, Ma (58288451300); Huashi, Zhao (57215897288); Wenchao, Li (56806782100); Juncong, Huang (59241941300)","56542299900; 57193394818; 58288451300; 57215897288; 56806782100; 59241941300","Network status and data quality analysis based on power grid data model","2024","2024 IEEE 4th International Conference on Electronic Technology, Communication and Information, ICETCI 2024","","","","366","372","6","0","10.1109/ICETCI61221.2024.10594322","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200161487&doi=10.1109%2fICETCI61221.2024.10594322&partnerID=40&md5=4b6a29c99785a11fcee67eeb7b1d35a9","China Southern Power Grid Company Limited, Guangzhou, 510770, China","Chaoyi P., China Southern Power Grid Company Limited, Guangzhou, 510770, China; Yaping H., China Southern Power Grid Company Limited, Guangzhou, 510770, China; Guang M., China Southern Power Grid Company Limited, Guangzhou, 510770, China; Huashi Z., China Southern Power Grid Company Limited, Guangzhou, 510770, China; Wenchao L., China Southern Power Grid Company Limited, Guangzhou, 510770, China; Juncong H., China Southern Power Grid Company Limited, Guangzhou, 510770, China","The new energy power system generates a large number of data models, which poses a challenge to the current system operation. In order to analyze the operating status of the system and equipment, a network status monitoring model based on the grid data model is proposed. The basic composition of the power grid data model is analyzed, the network element layer, the network communication layer, the network information layer, the network function layer, and the network business layer are analyzed in detail, and the functional architecture is proposed. A network intelligent analysis and system management platform based on real-time model data is proposed. The network state analysis process based on the grid data model is established, and the case analysis is carried out with the switch operation analysis and the transformer tap changer operation analysis as the objects, which illustrates the effectiveness of the grid data model proposed in this paper. © 2024 IEEE.","data quality analysis; network status analysis; Power grid data model; system design","Data reduction; Electric power system control; Information management; Power quality; Quality control; Smart power grids; Data quality analysis; Energies (power); Grid data; Network data; Network status; Network status analyse; New energies; Operations analysis; Power grid data model; Power grids; Network layers","P. Chaoyi; China Southern Power Grid Company Limited, Guangzhou, 510770, China; email: pengcy@csg.cn","","Institute of Electrical and Electronics Engineers Inc.","","979-835036164-3","","","English","IEEE Int. Conf. Electron. Technol., Commun. Inf., ICETCI","Conference paper","Final","","Scopus","2-s2.0-85200161487"
"Palakurti N.R.; Kanchepu N.","Palakurti, Naga Ramesh (59153771700); Kanchepu, Nageswararao (59153539000)","59153771700; 59153539000","Machine learning mastery: Practical insights for data processing","2024","Practical Applications of Data Processing, Algorithms, and Modeling","","","","16","29","13","0","10.4018/979-8-3693-2909-2.ch002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195011080&doi=10.4018%2f979-8-3693-2909-2.ch002&partnerID=40&md5=bc4e68e3f9b334be25131be73f58c4fe","Business Delivery, United States; Tata Consultancy Services, United States","Palakurti N.R., Business Delivery, United States; Kanchepu N., Tata Consultancy Services, United States","This chapter delves into the core principles of machine learning, offering practical insights for effective data processing. From foundational concepts to advanced techniques, the narrative unfolds as a comprehensive guide for harnessing the power of machine learning in real-world scenarios. The chapter explores data preprocessing methods, addressing the importance of cleaning and quality assurance, outlier detection, handling missing data, and employing noise reduction techniques. Through illustrative examples and case studies, readers gain actionable knowledge on building a robust foundation for machine learning applications. Emphasizing the significance of data quality in model performance, the chapter serves as a valuable resource for both beginners and experienced practitioners seeking mastery in the art of data processing for machine learning success. © 2024, IGI Global. All rights reserved.","","","","","IGI Global","","979-836932910-8; 979-836932909-2","","","English","Pract. Appl. of Data Process., Algorithms, and Model.","Book chapter","Final","","Scopus","2-s2.0-85195011080"
"Aslam H.; Munawar S.","Aslam, Haseeb (58221120500); Munawar, Saima (57201902479)","58221120500; 57201902479","Smart Energy Conservation in Data Centers Using Machine Learning Based Software-Defined Networking","2023","2023 6th International Conference on Energy Conservation and Efficiency, ICECE 2023 - Proceedings","","","","","","","1","10.1109/ICECE58062.2023.10092487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85156130173&doi=10.1109%2fICECE58062.2023.10092487&partnerID=40&md5=9dd8ca2d926cc03d9c7457e3433df427","Virtual University of Pakistan, Department of Computer Science and Information Technology, Dera Ghazi Khan, Pakistan","Aslam H., Virtual University of Pakistan, Department of Computer Science and Information Technology, Dera Ghazi Khan, Pakistan; Munawar S., Virtual University of Pakistan, Department of Computer Science and Information Technology, Dera Ghazi Khan, Pakistan","The rapid growth of Data Centers (DC) poses the problem of heavy energy consumption. The servers consume most of the energy in the DC, but the network infrastructure also uses a great deal of energy. It is therefore necessary to minimize the energy consumption of DC. DC Energy Conservation Strategy has various directorates, including energy-efficient methods for servers and networks, blended for servers and networks, cooling and renewable energy. As the literature revealed, many existing ways are available, but there are many problems with the current strategies, such as the issues include loss of packets, systems with rigid approaches with low modifications, obsolete methodologies for newer hardware devices, methods tested on small networks, and the amount of energy saved compared to the risk and financial cost involved is not worth it. This research eliminates the risk of packet loss up to some extent by securing as well improving the network efficiency. The study aims to construct a way to save energy in DC by employing the software-defined networking technique and modifying the existing Elastic Tree to maximize power savings, minimize the performance effect, and guarantee fault tolerance. It can consider improving the existing optimizer in elastic tree methodology and introducing new factors like power control based on traffic pattern analysis. A Mininet emulator is utilized to develop a virtual DC network. An optimizer is designed using different models and includes a floodlight controller that monitors traffic flow and creates a custom network topology by tracking the traffic pattern in DC. This custom network topology keeps the network's essential components active and power down the unneeded parts, including many links and switches, to meet the best performance. The custom topology suggested demonstrating in J-Graph. This exploration further leads to optimizer analysis, a step toward improving smart energy conservation. © 2023 IEEE.","Artificial Intelligence (AI); Cloud DC; Data Centers; Deep Learning; Energy Conservation; Energy Efficiency; Power Efficiency; software-defined networking","Deep learning; Electric lighting; Energy efficiency; Energy utilization; Fault tolerance; Green computing; Network topology; Packet networks; Power control; Artificial intelligence; Cloud data centers; Datacenter; Deep learning; Energy; Energy-consumption; Optimizers; Power-efficiency; Smart energies; Software-defined networkings; Software defined networking","","","Institute of Electrical and Electronics Engineers Inc.","","979-835033219-3","","","English","Int. Conf. Energy Conserv. Effic., ICECE - Proc.","Conference paper","Final","","Scopus","2-s2.0-85156130173"
"Mäkiaho T.; Vainio H.; Koskinen K.T.","Mäkiaho, Teemu (57993228900); Vainio, Henri (57201010582); Koskinen, Kari T. (7004112203)","57993228900; 57201010582; 7004112203","Wear Parameter Diagnostics of Industrial Milling Machine with Support Vector Regression","2023","Machines","11","3","395","","","","7","10.3390/machines11030395","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85151456768&doi=10.3390%2fmachines11030395&partnerID=40&md5=2125cdd2e8e00ca8c6b8cb3ea5131485","Department of Mechatronics, Automation Technology and Mechanical Engineering, Tampere University, Korkeakoulunkatu 7, Tampere, 33720, Finland","Mäkiaho T., Department of Mechatronics, Automation Technology and Mechanical Engineering, Tampere University, Korkeakoulunkatu 7, Tampere, 33720, Finland; Vainio H., Department of Mechatronics, Automation Technology and Mechanical Engineering, Tampere University, Korkeakoulunkatu 7, Tampere, 33720, Finland; Koskinen K.T., Department of Mechatronics, Automation Technology and Mechanical Engineering, Tampere University, Korkeakoulunkatu 7, Tampere, 33720, Finland","Modern industrial machine applications often contain data collection functions through automation systems or external sensors. Yet, while the different data collection mechanisms might be effortless to construct, it is advised to have a well-balanced consideration of the possible data inputs based on the machine characteristics, usage, and operational environment. Prior consideration of the collected data parameters reduces the risk of excessive data, yet another challenge remains to distinguish meaningful features significant for the purpose. This research illustrates a peripheral milling machine data collection and data pre-processing approach to diagnose significant machine parameters relevant to milling blade wear. The experiences gained from this research encourage conducting pre-categorisation of data significant for the purpose, those being manual setup data, programmable logic controller (PLC) automation system data, calculated parameters, and measured parameters under this study. Further, the results from the raw data pre-processing phase performed with Pearson Correlation Coefficient and permutation feature importance methods indicate that the most dominant correlation to recognised wear characteristics in the case machine context is perceived with vibration excitation monitoring. The root mean square (RMS) vibration signal is further predicted by using the support vector regression (SVR) algorithm to test the SVR’s overall suitability for the asset’s health index (HI) approximation. It was found that the SVR algorithm has sufficient data parameter behaviour forecast capabilities to be used in the peripheral milling machine prognostic process and its development. The SVR with Gaussian radial basis function (RBF) kernel receives the highest scoring metrics; therefore, outperforming the linear and polynomial kernels compared as part of the study. © 2023 by the authors.","data collection; feature extraction; milling blade wear; Pearson correlation coefficient; peripheral milling; permutation feature importance; support vector regression","","T. Mäkiaho; Department of Mechatronics, Automation Technology and Mechanical Engineering, Tampere University, Tampere, Korkeakoulunkatu 7, 33720, Finland; email: teemu.makiaho@tuni.fi","","MDPI","20751702","","","","English","Mach.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85151456768"
"Shi H.; Geng J.; Demichela M.","Shi, Huxiao (57220210610); Geng, Jie (59460938900); Demichela, Micaela (6602178643)","57220210610; 59460938900; 6602178643","How does Prognostics and Health Management (PHM) develop in the engineering domain: A bibliometric analysis with critical review","2024","Heliyon","10","24","e40920","","","","0","10.1016/j.heliyon.2024.e40920","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211214677&doi=10.1016%2fj.heliyon.2024.e40920&partnerID=40&md5=9044c3d0b8781aff973efc038496b66d","Applied Science and Technology Department, Politecnico di Torino, Turin, Italy; China Research Institute of Regulation and Public Policy, Zhejiang University of Finance & Economics, Hangzhou, China","Shi H., Applied Science and Technology Department, Politecnico di Torino, Turin, Italy; Geng J., China Research Institute of Regulation and Public Policy, Zhejiang University of Finance & Economics, Hangzhou, China; Demichela M., Applied Science and Technology Department, Politecnico di Torino, Turin, Italy","In recent years, Prognostics and Health Management (PHM) have been considered in broad industrial areas to improve the effectiveness of maintenance activities. In chemical engineering domains, PHM is regarded to have big potential for reliability and safety management of complex systems. In this study, a bibliometric analysis has been conducted to explore the evolution of PHM by retrieving 2351 publications from the Web of Science Core Collection (Retrieve date: 12/05/2023). Science mapping techniques are applied to visualize the results. This study helps to reveal research hotspots and development trends of PHM, with a particular focus on chemical engineering. As for the results, PHM has become a multidisciplinary topic. Its research in chemical engineering domains has gained increasing attention in recent years. By integrating advanced models like neural networks and digital twins, PHM can complement traditional approaches, offering real-time insights that improve operational strategies. In the future, PHM progress will focus on multidisciplinary applications with stronger collaboration between academia and industry, with more potential to address practical challenges. © 2024","Asset management; Bibliometric analysis; Chemical engineering; Comparison analysis; Critical review; Prognostics and Health Management; Science mapping","","H. Shi; Applied Science and Technology Department, Politecnico di Torino, Turin, Italy; email: huxiao.shi@polito.it","","Elsevier Ltd","24058440","","","","English","Heliyon","Article","Final","","Scopus","2-s2.0-85211214677"
